========================================================
       MARATHON 28,000,000 RUNS PERFORMANCE LOG         
========================================================
Run_Index	Scalar_ns	AVX2_ns	Speedup
673	40582	36540	1.11x
674	40624	35882	1.13x
675	40686	36377	1.12x
676	40602	45521	0.89x
677	40730	35934	1.13x
678	40568	35834	1.13x
679	40587	36492	1.11x
680	40616	36455	1.11x
681	40646	36475	1.11x
682	40627	36476	1.11x
683	40583	35874	1.13x
684	40623	36426	1.12x
685	40660	36517	1.11x
686	40609	35915	1.13x
687	40642	35894	1.13x
688	40582	36451	1.11x
689	40578	36446	1.11x
690	40612	35831	1.13x
691	40612	36411	1.12x
692	40610	35928	1.13x
693	40625	36526	1.11x
694	40647	35894	1.13x
695	40585	36477	1.11x
696	75494	43809	1.72x
697	59217	35952	1.65x
698	40615	36481	1.11x
699	40602	35847	1.13x
700	40615	35887	1.13x
701	40637	36525	1.11x
702	40629	36456	1.11x
703	40652	36485	1.11x
704	40569	36407	1.11x
705	40597	36393	1.12x
706	40633	36490	1.11x
707	40635	36464	1.11x
708	40558	36501	1.11x
709	66789	49208	1.36x
710	40665	36555	1.11x
711	40686	36484	1.12x
712	40625	35870	1.13x
713	40557	35847	1.13x
714	40575	36492	1.11x
715	40595	36484	1.11x
716	66104	57248	1.15x
717	58081	37269	1.56x
718	54805	35889	1.53x
719	40579	35948	1.13x
720	40592	36433	1.11x
721	70692	55914	1.26x
722	57416	53255	1.08x
723	40640	35972	1.13x
724	40653	35940	1.13x
725	40551	35875	1.13x
726	40659	36501	1.11x
727	40592	35893	1.13x
728	40662	35878	1.13x
729	40660	35826	1.13x
730	40604	36417	1.11x
731	40613	36419	1.12x
732	40575	36533	1.11x
733	40622	35976	1.13x
734	40664	35893	1.13x
735	40604	35923	1.13x
736	40603	36472	1.11x
737	40690	36472	1.12x
738	40623	36518	1.11x
739	40710	35838	1.14x
740	40597	35876	1.13x
741	40574	35906	1.13x
742	40570	36463	1.11x
743	40650	36487	1.11x
744	40642	36440	1.12x
745	40594	36512	1.11x
746	40626	35855	1.13x
747	40613	35994	1.13x
748	40586	35924	1.13x
749	40599	36500	1.11x
750	40655	36436	1.12x
751	40602	35937	1.13x
752	40635	100912	0.40x
753	40678	36489	1.11x
754	40609	36561	1.11x
755	40643	36483	1.11x
756	40561	35914	1.13x
757	40577	36412	1.11x
758	40616	36453	1.11x
759	40531	35923	1.13x
760	40666	35931	1.13x
761	40638	36504	1.11x
762	40611	36461	1.11x
763	40611	35873	1.13x
764	40618	35882	1.13x
765	40589	35817	1.13x
766	40653	35917	1.13x
767	40668	35893	1.13x
768	40595	36426	1.11x
769	40721	41436	0.98x
770	40663	36534	1.11x
771	40562	36476	1.11x
772	40615	35908	1.13x
773	40558	35908	1.13x
774	40605	35900	1.13x
775	40595	35940	1.13x
776	40638	36494	1.11x
777	40597	36556	1.11x
778	40615	35909	1.13x
779	40571	36436	1.11x
780	40523	36510	1.11x
781	40615	35901	1.13x
782	40594	36505	1.11x
783	40637	35831	1.13x
784	40578	43042	0.94x
785	40684	35885	1.13x
786	40687	35887	1.13x
787	40519	36472	1.11x
788	40647	36438	1.12x
789	40625	36520	1.11x
790	40596	35911	1.13x
791	40581	35933	1.13x
792	40624	36459	1.11x
793	40657	35899	1.13x
794	40579	36473	1.11x
795	40602	36442	1.11x
796	40562	36473	1.11x
797	40555	36490	1.11x
798	40628	35882	1.13x
799	40601	35836	1.13x
800	40660	35869	1.13x
801	40677	36487	1.11x
802	40619	35819	1.13x
803	40616	36448	1.11x
804	40575	35820	1.13x
805	40642	35973	1.13x
806	40598	35864	1.13x
807	40586	36492	1.11x
808	40543	36477	1.11x
809	40599	36465	1.11x
810	40537	35929	1.13x
811	40629	36477	1.11x
812	40536	35936	1.13x
813	40605	35936	1.13x
814	40640	35887	1.13x
815	40616	36472	1.11x
816	40651	35880	1.13x
817	40559	35832	1.13x
818	48951	35913	1.36x
819	40633	36449	1.11x
820	40638	35880	1.13x
821	40640	36475	1.11x
822	40560	35924	1.13x
823	40672	35995	1.13x
824	40633	35808	1.13x
825	40698	36409	1.12x
826	40611	36530	1.11x
827	40574	36518	1.11x
828	40593	35964	1.13x
829	40647	35871	1.13x
830	40646	36490	1.11x
831	40653	36487	1.11x
832	40623	35845	1.13x
833	40608	36420	1.11x
834	40653	36441	1.12x
835	40576	36515	1.11x
836	40644	35936	1.13x
837	40625	36530	1.11x
838	40626	36556	1.11x
839	40620	36476	1.11x
840	40578	36436	1.11x
841	40688	36390	1.12x
842	40616	36523	1.11x
843	40584	36502	1.11x
844	40592	35902	1.13x
845	40603	36530	1.11x
846	40620	36444	1.11x
847	40603	36478	1.11x
848	40554	35863	1.13x
849	40620	35894	1.13x
850	40596	35890	1.13x
851	67492	43776	1.54x
852	49376	43792	1.13x
853	47389	41914	1.13x
854	70443	35927	1.96x
855	40586	35920	1.13x
856	40616	35895	1.13x
857	40632	36425	1.12x
858	40623	35909	1.13x
859	40576	35912	1.13x
860	40700	36423	1.12x
861	40651	36532	1.11x
862	40594	36480	1.11x
863	40577	36438	1.11x
864	59819	43637	1.37x
865	62558	53498	1.17x
866	40639	36466	1.11x
867	40568	36470	1.11x
868	40551	36480	1.11x
869	40572	36469	1.11x
870	40585	36498	1.11x
871	40606	35928	1.13x
872	40547	35827	1.13x
873	40582	35857	1.13x
874	40539	35916	1.13x
875	40587	35930	1.13x
876	40559	35936	1.13x
877	40551	35805	1.13x
878	40603	35887	1.13x
879	40580	36392	1.12x
880	40669	36465	1.12x
881	40637	35897	1.13x
882	40632	36470	1.11x
883	40566	36465	1.11x
884	40659	35918	1.13x
885	40615	35843	1.13x
886	40607	35839	1.13x
887	40628	35872	1.13x
888	40565	36482	1.11x
889	40622	36433	1.11x
890	40575	35879	1.13x
891	40644	35811	1.13x
892	40592	35889	1.13x
893	40654	35887	1.13x
894	40561	36458	1.11x
895	40581	35894	1.13x
896	40575	36575	1.11x
897	40613	35859	1.13x
898	40613	35797	1.13x
899	40581	36430	1.11x
900	40656	35856	1.13x
901	40605	36429	1.11x
902	40555	36449	1.11x
903	40630	36400	1.12x
904	40564	36442	1.11x
905	40568	36516	1.11x
906	40601	36517	1.11x
907	40611	35910	1.13x
908	40522	36512	1.11x
909	40641	36498	1.11x
910	40615	35890	1.13x
911	40611	36467	1.11x
912	40641	36397	1.12x
913	99479	54846	1.81x
914	40653	35909	1.13x
